zip_code,zone,city,state,latitude,longitude
01852,6a,LOWELL,MA,42.63,-71.32
01854,6a,LOWELL,MA,42.63,-71.32
01462,5b,LUNENBURG,MA,42.59,-71.72
01901,6b,LYNN,MA,42.47,-70.96
01902,6b,LYNN,MA,42.47,-70.96
01904,6b,LYNN,MA,42.47,-70.96
01905,6b,LYNN,MA,42.47,-70.96
01906,6b,SAUGUS,MA,42.46,-71.01
01907,6b,SWAMPSCOTT,MA,42.46,-70.89
01908,6b,NAHANT,MA,42.42,-70.92
01940,6b,LYNNFIELD,MA,42.53,-71.04
01944,6b,MANCHESTER,MA,42.56,-70.76
02048,6a,MANSFIELD,MA,42.02,-71.21
01945,6b,MARBLEHEAD,MA,42.5,-70.85
01752,6a,MARLBOROUGH,MA,42.34,-71.54
02050,6b,MARSHFIELD,MA,42.09,-70.7
02648,7a,"MARSTONS MILLS",MA,41.67,-70.4
02649,7a,MASHPEE,MA,41.65,-70.48
01754,6a,MAYNARD,MA,42.42,-71.45
02052,6a,MEDFIELD,MA,42.18,-71.3
02053,6a,MEDWAY,MA,42.13,-71.4
01756,6a,MENDON,MA,42.1,-71.55
01860,6a,MERRIMAC,MA,42.83,-71
02346,6b,MIDDLEBORO,MA,41.86,-70.9
01949,6a,MIDDLETON,MA,42.6,-71.01
01757,6a,MILFORD,MA,42.14,-71.51
01527,5b,MILLBURY,MA,42.19,-71.76
01984,6b,WENHAM,MA,42.6,-70.88
02668,7a,"WEST BARNSTABLE",MA,41.7,-70.37
01581,6a,WESTBOROUGH,MA,42.26,-71.61
01583,6a,"WEST BOYLSTON",MA,42.36,-71.78
02379,6b,"WEST BRIDGEWATER",MA,42.01,-71
01585,5b,"WEST BROOKFIELD",MA,42.23,-72.14
02670,7a,"WEST DENNIS",MA,41.66,-70.16
01886,6a,WESTFORD,MA,42.58,-71.43
02671,7a,"WEST HARWICH",MA,41.67,-70.11
01473,5b,WESTMINSTER,MA,42.55,-71.9
01985,6a,"WEST NEWBURY",MA,42.8,-71
01568,6a,UPTON,MA,42.17,-71.61
02576,6b,"WEST WAREHAM",MA,41.78,-70.75
02090,6b,WESTWOOD,MA,42.21,-71.21
01588,6a,WHITINSVILLE,MA,42.11,-71.67
02382,6b,WHITMAN,MA,42.08,-70.93
01887,6a,WILMINGTON,MA,42.55,-71.16
01475,5b,WINCHENDON,MA,42.68,-72.04
01890,6b,WINCHESTER,MA,42.45,-71.14
01801,6a,WOBURN,MA,42.48,-71.15
01602,6a,WORCESTER,MA,42.26,-71.8
01603,5b,WORCESTER,MA,42.26,-71.8
01604,6a,WORCESTER,MA,42.26,-71.8
01605,5b,WORCESTER,MA,42.26,-71.8
01606,6a,WORCESTER,MA,42.26,-71.8
01607,5b,WORCESTER,MA,42.26,-71.8
01608,5b,WORCESTER,MA,42.26,-71.8
01609,6a,WORCESTER,MA,42.26,-71.8
01610,5b,WORCESTER,MA,42.26,-71.8
01611,6a,"CHERRY VALLEY",MA,42.23,-71.87
01612,6b,PAXTON,MA,42.31,-71.93
01655,6a,WORCESTER,MA,42.26,-71.8
02093,6a,WRENTHAM,MA,42.06,-71.33
02675,7a,"YARMOUTH PORT",MA,41.7,-70.22
02364,6b,KINGSTON,MA,41.99,-70.71
02347,6b,LAKEVILLE,MA,41.85,-70.95
04406,4a,ABBOT,ME,45.18,-69.45
04001,5a,ACTON,ME,43.53,-70.91
04606,5b,ADDISON,ME,45.08,-67.46
04910,5a,ALBION,ME,44.53,-69.44
04002,5b,ALFRED,ME,43.47,-70.71
04535,5b,ALNA,ME,44.1,-69.6
